Criador;Token Id;Preco;Data
Azuki;4007;1.95;01/12/2022
Azuki;4007;3.84;01/23/2022
Azuki;4007;9.1;02/03/2022
Azuki;8518;30.0;01/25/2022
Azuki;8518;44.0;02/02/2022
Bored Ape Yacht Club;3683;2.0;06/07/2021
Bored Ape Yacht Club;3683;10.79;08/03/2021
Bored Ape Yacht Club;3683;79.0;01/14/2022
Bored Ape Yacht Club;3683;116.9;01/30/2022
Bored Ape Yacht Club;3683;88.0;02/02/2022
Bored Ape Yacht Club;337;0.5;05/03/2021
Bored Ape Yacht Club;337;6.95;06/22/2021
Bored Ape Yacht Club;337;170.0;02/01/2022
Mutant Ape Yacht Club;10328;11.4;11/14/2021
Mutant Ape Yacht Club;10328;18.98;02/05/2022
Mutant Ape Yacht Club;8571;5.99;08/28/2021
Mutant Ape Yacht Club;8571;19.0;08/29/2021
Mutant Ape Yacht Club;8571;27.0;01/01/2022
Mutant Ape Yacht Club;8571;32.75;01/27/2022
Mutant Ape Yacht Club;8571;38.0;02/02/2022
Doodles;574;0.85;10/17/2021
Doodles;574;9.7;01/07/2022
Doodles;574;12.0;02/02/2022
Doodles;9955;1.35;10/17/2021
Doodles;9955;19.69;02/02/2022
The Sandbox;38588;3.22;02/07/2022
The Sandbox;38588;4.88;02/15/2022
The Sandbox;70753;28.0;02/04/2022
World of Women;7295;4.0;01/11/2022
World of Women;7295;7.5;01/12/2022
World of Women;7295;7.37;01/24/2022
World of Women;7295;8.27;02/02/2022
World of Women;663;0.15;07/28/2021
World of Women;663;12.0;01/11/2022
World of Women;663;23.99;02/02/2022
Bored Ape Kennel Club;8932;8.01;02/05/2022
Bored Ape Kennel Club;8049;3.4999;07/17/2021
Bored Ape Kennel Club;8049;5.0;08/22/2021
Bored Ape Kennel Club;8049;21.0;02/02/2022
Cool Cats NFT;5624;0.02;07/02/2021
Cool Cats NFT;5624;9.4;02/05/2022
Cool Cats NFT;5934;6.19;08/23/2021
Cool Cats NFT;5934;9.0;08/25/2021
Cool Cats NFT;5934;20.0;02/02/2022
PhantaBear;2690;0.449;12/31/2021
PhantaBear;2690;0.75;01/03/2022
PhantaBear;2690;0.8;01/05/2022
PhantaBear;2690;1.18;02/03/2022
PhantaBear;2690;1.25;02/04/2022
PhantaBear;8715;6.0;01/07/2022
PhantaBear;8715;3.6;02/02/2022
Adam Bomb Squad;2532;0.7521;02/04/2022
Adam Bomb Squad;2532;1.15;02/05/2022
Adam Bomb Squad;628;1.0;10/08/2021
Adam Bomb Squad;628;3.1;02/02/2022
CyberKongz;1689;2.5;08/23/2021
CyberKongz;1689;4.0;12/13/2021
CyberKongz;1689;5.69;12/14/2021
CyberKongz;1689;6.666;02/07/2022
CyberKongz;3285;2.7;09/03/2021
CyberKongz;3285;9.2;01/31/2022
CyberKongz;3285;9.7;02/05/2022
VeeFriends;7515;8.98;12/24/2021
VeeFriends;7515;10.51;02/02/2022
VeeFriends;7515;13.99;02/07/2022
VeeFriends;2830;3.5999;05/18/2021
VeeFriends;2830;55.0;01/03/2022
VeeFriends;2830;13.0;01/09/2022
VeeFriends;2830;36.99;01/24/2022
VeeFriends;2830;54.99;02/02/2022
Decentraland;115792089237316195423570985008687907816859771405100148448876501012713931014082;4.0;02/04/2022
Decentraland;115792089237316195423570985008687907828429371880412056206631237665394050203587;10.0;01/26/2022
Decentraland;115792089237316195423570985008687907828429371880412056206631237665394050203587;13.81;02/03/2022
Decentraland;115792089237316195423570985008687907828429371880412056206631237665394050203587;17.089;02/05/2022
CyberKongz VX;11722;0.695;09/01/2021
CyberKongz VX;11722;1.2;09/14/2021
CyberKongz VX;11722;1.8;02/07/2022
CyberKongz VX;1432;0.8999;08/16/2021
CyberKongz VX;1432;1.45;08/17/2021
CyberKongz VX;1432;4.8;02/02/2022
FLUF World;439;0.57;09/18/2021
FLUF World;439;0.95;11/21/2021
FLUF World;439;3.79;02/07/2022
FLUF World;7687;0.87;08/07/2021
FLUF World;7687;1.89;09/30/2021
FLUF World;7687;12.5;02/06/2022
The Doge Pound;4738;0.32;07/29/2021
The Doge Pound;4738;0.55;07/31/2021
The Doge Pound;4738;1.7299;08/29/2021
The Doge Pound;4738;2.45;08/30/2021
The Doge Pound;4738;1.6;02/02/2022
The Doge Pound;6676;1.0;08/02/2021
The Doge Pound;6676;1.5;08/26/2021
The Doge Pound;6676;2.0;01/01/2022
The Doge Pound;6676;2.45;02/03/2022
The Doge Pound;6676;3.4735;02/07/2022
DeadFellaz;7544;0.0599;08/12/2021
DeadFellaz;7544;3.5;02/04/2022
DeadFellaz;4996;3.45;12/30/2021
DeadFellaz;4996;7.99;02/03/2022
Meebits;19497;3.969;01/13/2022
Meebits;19497;4.19;01/24/2022
Meebits;19497;3.74;02/03/2022
Meebits;19497;3.25;02/04/2022
Meebits;12587;60.0;08/29/2021
Meebits;12587;23.71;02/03/2022
Lazy Lions;8717;0.145;08/08/2021
Lazy Lions;8717;0.96;08/29/2021
Lazy Lions;8717;4.518;01/29/2022
Lazy Lions;8717;1.43;02/07/2022
Lazy Lions;1137;0.21;08/09/2021
Lazy Lions;1137;0.175;08/11/2021
Lazy Lions;1137;3.1;02/02/2022
Bored Ape Chemistry Club;0;15.4633;01/19/2022
Bored Ape Chemistry Club;0;15.455;01/20/2022
Bored Ape Chemistry Club;0;15.525;01/21/2022
Bored Ape Chemistry Club;0;13.223;01/22/2022
Bored Ape Chemistry Club;0;16.1245;01/23/2022
Bored Ape Chemistry Club;0;17.5175;01/24/2022
Bored Ape Chemistry Club;0;20.3617;01/25/2022
Bored Ape Chemistry Club;0;19.0255;01/26/2022
Bored Ape Chemistry Club;0;14.4828;01/27/2022
Bored Ape Chemistry Club;0;20.2875;01/28/2022
Bored Ape Chemistry Club;0;22.953;01/29/2022
Bored Ape Chemistry Club;0;26.8054;01/30/2022
Bored Ape Chemistry Club;0;25.25;01/31/2022
Bored Ape Chemistry Club;0;24.0;02/01/2022
Bored Ape Chemistry Club;0;23.5;02/02/2022
Bored Ape Chemistry Club;0;22.75;02/03/2022
Bored Ape Chemistry Club;0;23.5;02/04/2022
Bored Ape Chemistry Club;0;23.99;02/05/2022
Bored Ape Chemistry Club;0;20.5;02/06/2022
Bored Ape Chemistry Club;0;20.63;02/08/2022
Bored Ape Chemistry Club;0;20.0;02/09/2022
Bored Ape Chemistry Club;0;9.1534;08/27/2021
Bored Ape Chemistry Club;0;5.35;08/28/2021
Bored Ape Chemistry Club;0;3.854;09/25/2021
Bored Ape Chemistry Club;0;3.4731;09/14/2021
Bored Ape Chemistry Club;0;7.3808;11/17/2021
Bored Ape Chemistry Club;0;5.926;11/21/2021
Bored Ape Chemistry Club;0;7.439;12/21/2021
Bored Ape Chemistry Club;0;9.3294;12/25/2021
Bored Ape Chemistry Club;0;13.415;01/07/2022
Bored Ape Chemistry Club;0;16.7036;01/02/2022
Bored Ape Chemistry Club;0;22.0;02/02/2022
Bored Ape Chemistry Club;1;23.6697;08/27/2021
Bored Ape Chemistry Club;1;13.5826;08/31/2021
Bored Ape Chemistry Club;1;10.78;09/03/2021
Bored Ape Chemistry Club;1;8.4933;09/10/2021
Bored Ape Chemistry Club;1;8.4633;10/02/2021
Bored Ape Chemistry Club;1;6.8735;10/15/2021
Bored Ape Chemistry Club;1;5.9887;10/20/2021
Bored Ape Chemistry Club;1;6.79;10/29/2021
Bored Ape Chemistry Club;1;16.0722;11/16/2021
Bored Ape Chemistry Club;1;15.95;11/17/2021
Bored Ape Chemistry Club;1;12.8345;11/23/2021
Bored Ape Chemistry Club;1;12.995;12/10/2021
Bored Ape Chemistry Club;1;12.7;12/18/2021
Bored Ape Chemistry Club;1;23.3367;12/30/2021
Bored Ape Chemistry Club;1;27.6166;01/01/2022
Bored Ape Chemistry Club;1;31.738;01/04/2022
Bored Ape Chemistry Club;1;28.09;01/07/2022
Bored Ape Chemistry Club;1;49.5;02/04/2022
Bored Ape Chemistry Club;1;46.0;02/07/2022
Bored Ape Chemistry Club;1;47.5;02/08/2022
Bored Ape Chemistry Club;1;30.0923;02/09/2022
PUNKS Comic;10161;0.199;01/16/2022
PUNKS Comic;10161;0.399;02/01/2022
PUNKS Comic;10161;0.248;02/05/2022
PUNKS Comic;8882;0.37;12/15/2021
PUNKS Comic;8882;0.3999;02/02/2022
Parallel Alpha;10372;0.021;10/21/2021
Parallel Alpha;10372;0.0107;10/22/2021
Parallel Alpha;10372;0.0142;10/26/2021
Parallel Alpha;10372;0.0082;11/01/2021
Parallel Alpha;10372;0.01;11/05/2021
Parallel Alpha;10372;0.012;11/20/2021
Parallel Alpha;10372;0.0095;12/08/2021
Parallel Alpha;10372;0.0052;12/13/2021
Parallel Alpha;10372;0.0085;12/16/2021
Parallel Alpha;10372;0.0105;01/06/2022
Parallel Alpha;10372;0.0146;01/11/2022
Parallel Alpha;10372;0.0202;01/13/2022
Parallel Alpha;10372;0.0298;01/17/2022
Parallel Alpha;10372;0.0293;01/20/2022
Parallel Alpha;10372;0.0301;01/24/2022
Parallel Alpha;10372;0.032;01/31/2022
Parallel Alpha;10372;0.0295;02/02/2022
Parallel Alpha;10372;0.0285;02/03/2022
Parallel Alpha;10372;0.0243;02/04/2022
Parallel Alpha;10372;0.0203;02/05/2022
Parallel Alpha;10372;0.0197;02/06/2022
Parallel Alpha;10372;0.0173;02/07/2022
Parallel Alpha;10372;0.0216;02/08/2022
Parallel Alpha;10372;0.021;02/09/2022
Parallel Alpha;10306;17.25;08/26/2021
Parallel Alpha;10306;12.9992;08/27/2021
Parallel Alpha;10306;8.4417;09/01/2021
Parallel Alpha;10306;7.5;09/11/2021
Parallel Alpha;10306;8.725;09/12/2021
Parallel Alpha;10306;9.55;09/20/2021
Parallel Alpha;10306;7.0;09/22/2021
Parallel Alpha;10306;14.9875;09/30/2021
Parallel Alpha;10306;10.55;10/07/2021
Parallel Alpha;10306;13.5;10/18/2021
Parallel Alpha;10306;13.5;10/22/2021
Parallel Alpha;10306;14.0667;10/25/2021
Parallel Alpha;10306;12.0;10/30/2021
Parallel Alpha;10306;7.0;11/07/2021
Parallel Alpha;10306;9.2;11/11/2021
Parallel Alpha;10306;6.75;11/22/2021
Parallel Alpha;10306;6.7;11/29/2021
Parallel Alpha;10306;4.75;12/05/2021
Parallel Alpha;10306;4.75;12/09/2021
Parallel Alpha;10306;3.55;12/18/2021
Parallel Alpha;10306;4.4;12/26/2021
Parallel Alpha;10306;0.1;12/29/2021
Parallel Alpha;10306;4.0;12/30/2021
Parallel Alpha;10306;0.01;01/03/2022
Parallel Alpha;10306;4.65;01/05/2022
Parallel Alpha;10306;6.75;01/13/2022
Parallel Alpha;10306;7.7445;01/14/2022
Parallel Alpha;10306;5.0;01/18/2022
Parallel Alpha;10306;7.94;01/24/2022
Parallel Alpha;10306;5.25;01/29/2022
Parallel Alpha;10306;4.5;01/30/2022
Parallel Alpha;10306;6.0;02/05/2022
Parallel Alpha;10306;5.16;02/06/2022
SuperRare;16338;0.0969;02/07/2022
SuperRare;16114;0.3;01/05/2022
SuperRare;16114;0.515;02/06/2022
